Origin,Destination,MedianTimeSeconds,Frequency
Avd 18 Öron Näsa Hals (på 27 under sommaren),Intervention 1,124.0,1
Avd 18 Öron Näsa Hals (på 27 under sommaren),MS-Mottagningen,1320.0,1
Avd 18 Öron Näsa Hals (på 27 under sommaren),Mammografi,64.0,1
Avd 18 Öron Näsa Hals (på 27 under sommaren),Neurooftamologisk mott Sahlgrenska ÖK,842.0,1
Avd 18 Öron Näsa Hals,Mammografi,50.0,1
Avd 18 Öron Näsa Hals,Medicinmottagning 1,1450.0,1
Avd 18 Öron Näsa Hals,NIVA Neurointensiven,1155.0,1
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Avd 81 Psykiatri,714.0,1
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Avd 82 Psykiatri,852.0,1
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Hjärtmottagningen,594.0,1
Avd 18 Öron Näsa Hals,Avd 27 Plastik,6.0,1
Avd 18 Öron Näsa Hals,Avd 30 Urologi,1950.0,1
Avd 18 Öron Näsa Hals,Avd 69 Onkologi,1594.0,1
Avd 18 Öron Näsa Hals,Hörselvård,604.0,1
Avd 18 Öron Näsa Hals,Intervention 2,974.0,1
Avd 18 Öron Näsa Hals,MR 51 Gamla Magnetkameran,102.0,1
Avd 18 Öron Näsa Hals (på 27 under sommaren),Avd 30 Urologi (På 131 under sommaren),2302.0,1
Avd 18 Öron Näsa Hals (på 27 under sommaren),Dialysmottagning (avd 130),813.0,1
Avd 18 Öron Näsa Hals (på 27 under sommaren),EEG - Klinisk Neurofysiologimott.,178.0,1
Avd 18 Öron Näsa Hals (på 27 under sommaren),GEA Gastroenterologisk Endoskopi,381.0,1
Avd 18 Öron Näsa Hals,Avd 136 Kirurgi,1283.0,1
Avd 18 Öron Näsa Hals,Avd 140 Hematologisk Mottagning,2931.0,1
Avd 18 Öron Näsa Hals,Avd 141 Hematologi,1304.0,1
Avd 18 Öron Näsa Hals,Strålbehandling Rum 1,984.0,1
Avd 18 Öron Näsa Hals,Strålbehandling Rum 10,128.0,1
Avd 18 Öron Näsa Hals,Urologmottagningen,500.0,1
Avd 18 Öron Näsa Hals (på 27 under sommaren),Avd 131 Njurmedicin,1328.0,1
Avd 18 Öron Näsa Hals (på 27 under sommaren),Avd 138 Kärlkirurgi,940.0,1
Avd 18 Öron Näsa Hals (på 27 under sommaren),Avd 18 Öron Näsa Hals (på 27 under sommaren),62.0,1
Avd 16/29 medicin,KK-akuten Gynekologisk Akutmottagning,244.0,1
Avd 16/29 medicin,Kirurgmottagningen Dagvård,620.0,1
Avd 16/29 medicin,Kärlkirurgimottagning (Vita Str 12),905.0,1
Avd 16/29 medicin,"Leverkirurgisk mottagning dagvård (Bruna 5, vån 4)",286.0,1
Avd 16/29 medicin,Lungonkologisk Mottagning LOM,116.0,1
Avd 16/29 medicin,Neurokirurgimottagning (Blå str 7 plan 00),655.0,1
Avd 16/29 medicin,Röntgen Plan 2/3 rum s22,834.0,1
Avd 16/29 medicin,Öron Näsa Hals-Mottagningen (gamla rtg),1063.0,1
Avd 18 Öron Näsa Hals,AKOM akutteam 1,865.0,1
Avd 18 Öron Näsa Hals,Avd 133 Neurologi,1637.0,1
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Prostatacancer-Center PCC,1226.0,1
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Reumatologimottagningen,1042.0,1
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Röntgen Plan 01 rum s18,573.0,1
Operation 7 Öron Näsa Hals,Urologmottagningen,1567.0,1
Avd 16/29 medicin,Röntgen Plan 01 rum s17 (MR),498.0,1
71 Onkologisk mottagning team 3,Avd 52 Onkologi,1557.0,1
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Infla-center Reumatologi,1420.0,1
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Intervention 1,351.0,1
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Iohexol njurfunktion Klin Fys (crom),1654.0,1
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Kärlkirurgimottagning (Vita Str 12),599.0,1
71 Onkologisk mottagning team 3,GEA Gastroenterologisk Endoskopi,255.0,1
71 Onkologisk mottagning team 3,Huvudentrén,2093.0,1
71 Onkologisk mottagning team 3,Operation 4 (på OP1 under sommaren),558.0,1
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Ortopedimottagning (Blå stråket 3),867.0,1
Avd 16/29 medicin,Avd 52 Onkologi,479.0,1
Avd 16/29 medicin,Avd 68 Gynekologi,3412.0,1
Avd 16/29 medicin,Avd 69 Onkologi,998.0,1
71 Onkologisk mottagning team 3,Operation 5 Narkosbedömning,486.0,1
71 Onkologisk mottagning team 3,Operation 5 Neurokirurgi,1254.0,1
71 Onkologisk mottagning team 3,RadFysLab,2914.0,1
Avd 16/29 medicin,CIVA avd 96,566.0,1
Avd 16/29 medicin,Cystoskopi Urologmottagningen,1883.0,1
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Avd 134 Ryggmärgsskador,1386.0,1
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Avd 18 Öron Näsa Hals,1129.0,1
Avd 16/29 medicin,Avd 14 Plastik,869.0,1
Avd 16/29 medicin,Avd 143 Transplantationsmottagning,150.0,1
71 Onkologisk mottagning team 3,Röntgen Norr rum S10,798.0,1
Avd 16/29 medicin,Avd 19 specialist,1393.0,1
Avd 16/29 medicin,Avd 25 Thoraxkirurgi,2889.0,1
Avd 16/29 medicin,Avd 34 Geriatrik,812.0,1
71 Onkologisk mottagning team 3,Strålbehandling CT-MR-Fixation,1196.0,1
AKOM akutteam 1,0,1072.0,1
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Röntgen Söder rum S7,1325.0,1
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Strålbehandling Rum 5,1982.0,1
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Strålbehandling Rum 9,1190.0,1
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Öron Näsa Hals-Mottagningen ÖNH,1074.0,1
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),AKOM team 2 medicin,1004.0,1
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Avd 12 Thoraxkirurgi,447.0,1
Öron Näsa Hals-Mottagningen (gamla rtg),Röntgen-reception Uppgång G,1013.0,1
Avd 16/29 medicin,Operation 1 Narkosbedömning,374.0,1
Avd 16/29 medicin,Operation 2,438.0,1
Avd 16/29 medicin,Operation 5 Narkosbedömning,1103.0,1
Avd 16/29 medicin,PIVA avd 22,36.0,1
Avd 16/29 medicin,Preoperativ mottagning Sahlgrenska Blå str 7 plan 1,488.0,1
Avd 16/29 medicin,Provtagningscentralen Centralkomplexet,929.0,1
Avd 16/29 medicin,Reumatologimottagningen,759.0,1
Öron Näsa Hals-Mottagningen ÖNH,AKOM akutteam 4,819.0,1
Avd 16/29 medicin,Avd 12 Thoraxkirurgi,1204.0,1
Öron Näsa Hals-Mottagningen ÖNH,AKOM team 2 medicin,1396.0,1
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Röntgen Söder rum S4,1638.0,1
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Röntgen Söder rum S6,397.0,1
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),TVE Traumavårdsenhet,517.0,1
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Öron Näsa Hals-Mottagningen (gamla rtg),1038.0,1
Röntgen Norr rum S10,AKOM akutteam 1,600.0,1
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),520.0,1
Avd 15/28 Ortopedi,Röntgen Norr rum S13 MR-kamera,1274.0,1
Avd 15/28 Ortopedi,Röntgen Norr rum S14 MR-kamera,865.0,1
Avd 15/28 Ortopedi,Röntgen Plan 01 rum s17 (MR),566.0,1
AKOM akutteam 1,Avd 68 Gynekologi,393.0,1
Avd 15/28 Ortopedi,TVE Traumavårdsenhet,714.0,1
Avd 15/28 Ortopedi,Öron Näsa Hals-Mottagningen (gamla rtg),1041.0,1
Avd 16/29 medicin,Avd 10 Neurokirurgi,940.0,1
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Cystoskopi Urologmottagningen,1018.0,1
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Lungdiagnostisk Mott.,983.0,1
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),MR 52 Gamla Magnetkameran,1027.0,1
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Medicinmottagning 1,950.0,1
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Onkologimottagning 1 och 2 (JK Blå str 2),1823.0,1
Avd 93 HIA Hjärtintensiv,Röntgen Norr rum S12,31.0,1
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Preoperativ mottagning Sahlgrenska Blå str 7 plan 1,1347.0,1
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),409.0,1
Avd 16/29 medicin,Dagvård Urologmottagningen,1463.0,1
Avd 16/29 medicin,"Dexa (""Scapis"") Blå str 7 plan 1",1611.0,1
Öron Näsa Hals-Mottagningen ÖNH,Röntgen Plan 01 rum s20,1282.0,1
Öron Näsa Hals-Mottagningen ÖNH,Röntgen Söder rum S7,1001.0,1
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Avd 19 specialist,1722.0,1
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Avd 23 Neurokirurgi,1028.0,1
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Avd 80 Psykiatri,939.0,1
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Avd 92 HIA Hjärtintensiv,1463.0,1
Avd 15/28 Ortopedi,Onkologimottagning 3 (KK Blå Str 6),707.0,1
Avd 15/28 Ortopedi,Ortopedimottagning (Blå stråket 3),285.0,1
Avd 15/28 Ortopedi,Plastikmottagningen (Blå str 3),537.0,1
Avd 15/28 Ortopedi,Preoperativ mottagning Sahlgrenska Blå str 7 plan 1,865.0,1
Avd 15/28 Ortopedi,Prostatacancer-Center PCC,1202.0,1
Öron Näsa Hals-mottagning Akutsidan (gamla rtg),Avd 10 Neurokirurgi,532.0,1
Röntgen Norr rum S11,Avd 143 Transplantationsmottagning,944.0,1
Öron Näsa Hals-mottagning Akutsidan (gamla rtg),Avd 115 Reumatologi,1332.0,1
Avd 15/28 Ortopedi,Avd 92 HIA Hjärtintensiv,2708.0,1
Öron Näsa Hals-mottagning Akutsidan (gamla rtg),Avd 16/29 medicin,1647.0,1
Avd 15/28 Ortopedi,Infla-center Reumatologi,531.0,1
Avd 15/28 Ortopedi,Intervention 3,1766.0,1
Avd 15/28 Ortopedi,MR 51 Gamla Magnetkameran,233.0,1
Öron Näsa Hals-mottagning Akutsidan (gamla rtg),Avd 18 Öron Näsa Hals,592.0,1
Avd 15/28 Ortopedi,Neurooftamologisk mott Sahlgrenska ÖK,233.0,1
Avd 15/28 Ortopedi,Nuklearmedicin Klin Fys,608.0,1
Avd 15/28 Ortopedi,Avd 21 Geriatrik,3098.0,1
71 Onkologisk mottagning team 3,Avd 132 Kirurgi,2526.0,1
Avd 15/28 Ortopedi,Avd 32 Specialistmedicin,2484.0,1
Avd 15/28 Ortopedi,Avd 34 Geriatrik,2967.0,1
Öron Näsa Hals-Mottagningen (gamla rtg),Röntgen Plan 01 rum s20,1455.0,1
Avd 15/28 Ortopedi,Avd 69 Onkologi,1156.0,1
Avd 15/28 Ortopedi,Avd 90 MAVA,10.0,1
Avd 15/28 Ortopedi,Avd 91 MAVA,641.0,1
Röntgen Norr rum S10,Avd 136 Kirurgi,626.0,1
Öron Näsa Hals-Mottagningen (gamla rtg),Röntgen Söder rum S4,1143.0,1
Röntgen Norr rum S10,Avd 19 specialist,868.0,1
Röntgen Norr rum S10,Avd 30 Urologi,1348.0,1
Röntgen Norr rum S10,Avd 90 MAVA,489.0,1
Öron Näsa Hals-Mottagningen ÖNH,Provtagningscentralen Centralkomplexet,1585.0,1
Röntgen Norr rum S10,Röntgen Plan 01 rum s20,7.0,1
Öron Näsa Hals-Mottagningen ÖNH,Röntgen Norr rum S11,379.0,1
Röntgen Norr rum S11,Lungdiagnostisk Mott.,1431.0,1
Röntgen Norr rum S11,Neurokirurgi Inskrivning,852.0,1
Röntgen Norr rum S11,Nuklearmedicin Klin Fys,600.0,1
Röntgen Norr rum S11,Operation 1,269.0,1
Röntgen Norr rum S11,Operation 8,487.0,1
Röntgen Norr rum S11,Preoperativ mottagning Sahlgrenska Blå str 7 plan 1,314.0,1
Röntgen Norr rum S11,Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),378.0,1
Röntgen Norr rum S11,Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),9.0,1
Avd 15/28 Ortopedi,Avd 141 Hematologi,3317.0,1
Öron Näsa Hals-Mottagningen ÖNH,Röntgen Norr rum S15,984.0,1
Avd 15/28 Ortopedi,Avd 18 Öron Näsa Hals,1406.0,1
Röntgen Norr rum S11,Dagvård Urologmottagningen,2348.0,1
Röntgen Norr rum S11,GEA Gastroenterologisk Endoskopi,768.0,1
Röntgen Norr rum S11,Huvudentrén,678.0,1
Röntgen Norr rum S11,Infla-center Reumatologi,1454.0,1
Röntgen Norr rum S11,Kirurgmottagningen,768.0,1
Avd 143 Transplantationsmottagning,Röntgen Söder rum S7,339.0,1
Avd 143 Transplantationsmottagning,Röntgen-reception Uppgång G,802.0,1
0,Röntgen Norr rum S16,969.0,1
Avd 15/28 Ortopedi,Ambulanshall,445.0,1
Avd 15/28 Ortopedi,Avd 10 Neurokirurgi,2550.0,1
Avd 15/28 Ortopedi,Avd 132 Kirurgi,1988.0,1
Avd 15/28 Ortopedi,Avd 133 Neurologi,1604.0,1
Avd 15/28 Ortopedi,Avd 138 Kärlkirurgi,989.0,1
Röntgen Norr rum S11,Avd 27 Plastik,656.0,1
Röntgen Norr rum S11,Avd 30 Urologi (På 131 under sommaren),866.0,1
Öron Näsa Hals-Mottagningen (gamla rtg),Avd 90 MAVA,1431.0,1
Öron Näsa Hals-Mottagningen (gamla rtg),Avd 93 HIA Hjärtintensiv,527.0,1
Avd 143 Transplantationsmottagning,Avd 91 MAVA,191.0,1
Avd 143 Transplantationsmottagning,Avd 93 HIA Hjärtintensiv,560.0,1
Avd 143 Transplantationsmottagning,Nuklearmedicin Klin Fys,621.0,1
Avd 143 Transplantationsmottagning,Röntgen Söder rum S6,367.0,1
Avd 141 Hematologi,Medicinmottagning 1,158.0,1
Avd 141 Hematologi,Onkologimottagning 1 och 2 (JK Blå str 2),1133.0,1
Avd 141 Hematologi,Operation 4 (på OP1 under sommaren),31.0,1
Avd 141 Hematologi,Operation 6 Plastikkirurgi,1200.0,1
Avd 141 Hematologi,Ortopedimottagning (Blå stråket 3),1039.0,1
Öron Näsa Hals-Mottagningen (gamla rtg),Neurooftamologisk mott Sahlgrenska ÖK,1735.0,1
Avd 141 Hematologi,Prostatacancer-Center PCC,807.0,1
Avd 141 Hematologi,Röntgen Norr rum S10,617.0,1
Öron Näsa Hals-Mottagningen (gamla rtg),Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),1982.0,1
Avd 141 Hematologi,Öron Näsa Hals-mottagning Akutsidan (gamla rtg),1521.0,1
Öron Näsa Hals-Mottagningen (gamla rtg),Avd 15/28 Ortopedi,1501.0,1
Avd 143 Transplantationsmottagning,Avd 139 Transplantation,10.0,1
Avd 143 Transplantationsmottagning,Avd 52 Onkologi,2077.0,1
Öron Näsa Hals-Mottagningen (gamla rtg),Avd 19 specialist,868.0,1
Avd 141 Hematologi,MR 51 Gamla Magnetkameran,377.0,1
Avd 141 Hematologi,Mammografi,73.0,1
Avd 141 Hematologi,Röntgen Plan 2/3 rum s22,179.0,1
Avd 141 Hematologi,Röntgen Söder rum S3,1615.0,1
Öron Näsa Hals-Mottagningen (gamla rtg),Avd 27 Plastik,1195.0,1
Öron Näsa Hals-Mottagningen (gamla rtg),Avd 31 Plastik dagvård,927.0,1
Öron Näsa Hals-Mottagningen (gamla rtg),Avd 32 Specialistmedicin,1121.0,1
Öron Näsa Hals-Mottagningen ÖNH,Avd 53 Onkologi,2615.0,1
Avd 141 Hematologi,Strålbehandling Rum 7,856.0,1
Dag-UVA avdelning 95B,Avd 131 Njurmedicin,2371.0,1
Dag-UVA avdelning 95B,Avd 133 Neurologi,675.0,1
Röntgen Norr rum S11,Röntgen Norr rum S15,392.0,1
Röntgen Norr rum S11,Röntgen Norr rum S16,1557.0,1
Röntgen Norr rum S11,Röntgen Plan 01 rum s18,43.0,1
Röntgen Norr rum S11,Strålbehandling Rum 10,1050.0,1
Röntgen Norr rum S11,Öron Näsa Hals-Mottagningen ÖNH,1641.0,1
Dag-UVA avdelning 95B,Avd 139 Transplantation,1395.0,1
Avd 141 Hematologi,Röntgen Plan 01 rum s19 (MR),120.0,1
Röntgen Norr rum S12,Avd 80 Psykiatri,495.0,1
Dag-UVA avdelning 95B,Avd 143 Transplantationsmottagning,1061.0,1
Röntgen Norr rum S12,Avd 82 Psykiatri,1589.0,1
Röntgen Norr rum S12,Avd 92 HIA Hjärtintensiv,849.0,1
Röntgen Norr rum S12,Diabetesforskning L-berglab,1153.0,1
Dag-UVA avdelning 95B,Avd 16/29 medicin,1339.0,1
Röntgen Norr rum S12,Röntgen Norr rum S10,392.0,1
Dag-UVA avdelning 95B,Avd 54 Onkologi,1484.0,1
Avd 141 Hematologi,Avd 67 Gynekologi,1605.0,1
Avd 141 Hematologi,Avd 68 Gynekologi,2753.0,1
Avd 141 Hematologi,Avd 69 Onkologi,2589.0,1
Avd 141 Hematologi,Dialysmottagning (avd 130),63.0,1
Avd 141 Hematologi,Frisören,465.0,1
Avd 141 Hematologi,Hjärtmottagningen,444.0,1
Avd 141 Hematologi,Huvudentrén,10.0,1
Dagvård Urologmottagningen,Röntgen Norr rum S16,537.0,1
Avd 141 Hematologi,Avd 12 Thoraxkirurgi,2303.0,1
Avd 141 Hematologi,Avd 13 Kardiologi,1265.0,1
Bruna Stråket 5 Entré,AKOM akutteam 1,4.0,1
Bruna Stråket 5 Entré,AKOM triage,770.0,1
Avd 141 Hematologi,Avd 18 Öron Näsa Hals (på 27 under sommaren),2097.0,1
Bruna Stråket 5 Entré,Avd 131 Njurmedicin,151.0,1
Avd 141 Hematologi,Avd 32 Specialistmedicin,2991.0,1
Bruna Stråket 5 Entré,Avd 91 MAVA,54.0,1
Avd 141 Hematologi,Röntgen Norr rum S14 MR-kamera,563.0,1
Bruna Stråket 5 Entré,Hudmottagningen plan 01,1881.0,1
Röntgen Norr rum S12,Avd 23 Neurokirurgi,275.0,1
Röntgen Norr rum S12,Avd 27 Plastik,927.0,1
Bruna Stråket 5 Entré,Kärlkirurgimottagning (Vita Str 12),1180.0,1
Avd 140 Hematologisk Mottagning,Strålbehandling Rum 6,1155.0,1
Avd 140 Hematologisk Mottagning,Urologmottagningen,975.0,1
Avd 141 Hematologi,Avd 115 Reumatologi,935.0,1
Avd 140 Hematologisk Mottagning,Röntgen Plan 01 rum s19,784.0,1
Avd 140 Hematologisk Mottagning,Röntgen Plan 01 rum s19 (MR),124.0,1
Bruna Stråket 5 Entré,Reumatologimottagningen,1271.0,1
Bårvagnsförråd AKOM,AKOM akutteam 4,697.0,1
Avd 140 Hematologisk Mottagning,Röntgen Söder rum S5,703.0,1
Avd 140 Hematologisk Mottagning,Röntgen Söder rum S6,1258.0,1
Avd 93 HIA Hjärtintensiv,Öron Näsa Hals-Mottagningen (gamla rtg),7.0,1
Avd 140 Hematologisk Mottagning,Röntgen-reception Uppgång G,450.0,1
Avd 140 Hematologisk Mottagning,Muskellab Gula str 6,194.0,1
Avd 140 Hematologisk Mottagning,Njurmottagningen Vita Str 12,719.0,1
Avd 140 Hematologisk Mottagning,Nuklearmedicin Klin Fys,96.0,1
Avd 140 Hematologisk Mottagning,Operation 5 Narkosbedömning,365.0,1
Avd 140 Hematologisk Mottagning,Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),41.0,1
Avd 94 dagvård kardiologi,Röntgen Norr rum S16,301.0,1
Avd 140 Hematologisk Mottagning,Röntgen Plan 01 rum s17 (MR),677.0,1
Avd 140 Hematologisk Mottagning,Röntgen Plan 01 rum s18,1014.0,1
Röntgen Norr rum S13 MR-kamera,Avd 67 Gynekologi,1768.0,1
Röntgen Norr rum S13 MR-kamera,Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),543.0,1
Röntgen Norr rum S13 MR-kamera,Röntgen Plan 01 rum s18,32.0,1
Röntgen Norr rum S14 MR-kamera,AKOM akutteam 1,669.0,1
Avd 140 Hematologisk Mottagning,Hudmottagningen plan 01,2165.0,1
Avd 140 Hematologisk Mottagning,Huvudentrén,39.0,1
Avd 140 Hematologisk Mottagning,KK-akuten Gynekologisk Akutmottagning,1897.0,1
Avd 140 Hematologisk Mottagning,Kirurgmottagningen,1271.0,1
Avd 94 dagvård kardiologi,Röntgen Söder rum S3,2143.0,1
Blodcentralen Transfusionsmedicin,AKOM akutteam 4,10.0,1
Röntgen Norr rum S12,Urologmottagningen,550.0,1
Blodcentralen Transfusionsmedicin,KK-akuten Gynekologisk Akutmottagning,878.0,1
Röntgen Norr rum S13 MR-kamera,Avd 115 Reumatologi,1540.0,1
Blå Stråket 3,Helikopterplattan,1085.0,1
Röntgen Norr rum S13 MR-kamera,Avd 19 specialist,660.0,1
Röntgen Norr rum S13 MR-kamera,Avd 52 Onkologi,445.0,1
Avd 140 Hematologisk Mottagning,Avd 113 Hud plan04,1617.0,1
Avd 140 Hematologisk Mottagning,Avd 133 Neurologi,1984.0,1
Avd 140 Hematologisk Mottagning,Avd 140 Hematologisk Mottagning,96.0,1
Boic-Gropen,CIVA avd 96,112.0,1
Boic-Gropen,Röntgen Norr rum S12,600.0,1
Avd 93 HIA Hjärtintensiv,Röntgen Norr rum S16,534.0,1
Avd 140 Hematologisk Mottagning,Avd 52 Onkologi,1226.0,1
Avd 140 Hematologisk Mottagning,Avd 54 Onkologi,1003.0,1
Avd 93 HIA Hjärtintensiv,Röntgen Plan 01 rum s17,315.0,1
Avd 14 Plastik,Strålbehandling Reception,671.0,1
Avd 14 Plastik,Strålbehandling Rum 2,280.0,1
Avd 93 HIA Hjärtintensiv,Röntgen Plan 01 rum s17 (MR),135.0,1
Avd 14 Plastik,Urologmottagningen,1474.0,1
Avd 14 Plastik,Öron Näsa Hals-Mottagningen (gamla rtg),288.0,1
Avd 93 HIA Hjärtintensiv,Röntgen Plan 01 rum s18,367.0,1
Avd 93 HIA Hjärtintensiv,Röntgen Plan 01 rum s19 (MR),1258.0,1
Röntgen Norr rum S14 MR-kamera,Avd 82 Psykiatri,929.0,1
Röntgen Norr rum S14 MR-kamera,MR 51 Gamla Magnetkameran,100.0,1
Röntgen Norr rum S14 MR-kamera,Nuklearmedicin Klin Fys,883.0,1
Röntgen Norr rum S15,71 Onkologisk mottagning team 3,398.0,1
Röntgen Norr rum S15,Avd 124 - ÖNH-mott tillfälligt utlokaliserad,1312.0,1
Avd 93 HIA Hjärtintensiv,Röntgen Söder rum S5,650.0,1
Avd 14 Plastik,Röntgen Plan 2/3 rum s22,3.0,1
Avd 14 Plastik,Röntgen Söder rum S4,26.0,1
Avd 140 Hematologisk Mottagning,Strålbehandling Rum 1,967.0,1
Röntgen Norr rum S14 MR-kamera,AKOM team 3 OBS:en,1198.0,1
Röntgen Norr rum S14 MR-kamera,Avd 137 Kirurgi,680.0,1
Röntgen Norr rum S14 MR-kamera,Avd 141 Hematologi,858.0,1
Röntgen Norr rum S14 MR-kamera,Avd 23 Neurokirurgi,458.0,1
Röntgen Norr rum S14 MR-kamera,Avd 34 Geriatrik,1014.0,1
Röntgen Norr rum S14 MR-kamera,Avd 52 Onkologi,1994.0,1
Röntgen Norr rum S14 MR-kamera,Avd 68 Gynekologi,1147.0,1
Avd 14 Plastik,Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),689.0,1
Avd 14 Plastik,Röntgen Norr rum S11,651.0,1
Avd 14 Plastik,Röntgen Norr rum S15,575.0,1
Avd 14 Plastik,Röntgen Plan 01 rum s19,170.0,1
Röntgen Norr rum S15,Avd 92 HIA Hjärtintensiv,461.0,1
Röntgen Norr rum S15,Avd 93 HIA Hjärtintensiv,261.0,1
Röntgen Norr rum S15,Avd 94 dagvård kardiologi,546.0,1
Röntgen Norr rum S15,Gynekologisk Mottagning,473.0,1
Avd 14 Plastik,Avd 32 Specialistmedicin,1231.0,1
Avd 14 Plastik,Avd 68 Gynekologi,4420.0,1
Avd 14 Plastik,GEA Gastroenterologisk Endoskopi,438.0,1
Avd 14 Plastik,Gynekologisk Mottagning,225.0,1
Avd 93 HIA Hjärtintensiv,Strålbehandling Rum 10,1457.0,1
Avd 14 Plastik,KK-akuten Gynekologisk Akutmottagning,171.0,1
Avd 93 HIA Hjärtintensiv,Öron Näs Hals-Mottagningen ÖNH,2510.0,1
Avd 14 Plastik,Mammografi,759.0,1
Röntgen Norr rum S15,Avd 53 Onkologi,1440.0,1
Röntgen Norr rum S15,Avd 86 Psykiatri,1457.0,1
Avd 14 Plastik,Avd 131 Njurmedicin,2294.0,1
Avd 93 HIA Hjärtintensiv,Mammografi,1694.0,1
Avd 14 Plastik,Avd 139 Transplantation,1487.0,1
Avd 14 Plastik,Avd 16/29 medicin,1743.0,1
Avd 14 Plastik,Avd 21 Geriatrik,1351.0,1
Avd 14 Plastik,Avd 30 Urologi,125.0,1
Avd 93 HIA Hjärtintensiv,Medicinmottagning 2,2836.0,1
Avd 140 Hematologisk Mottagning,Avd 81 Psykiatri,1322.0,1
Avd 140 Hematologisk Mottagning,Avd 90 MAVA,1313.0,1
Avd 140 Hematologisk Mottagning,Bårhus,3450.0,1
Avd 93 HIA Hjärtintensiv,Nuklearmedicin Klin Fys,217.0,1
Avd 140 Hematologisk Mottagning,Gynekologisk Mottagning,713.0,1
Dexa (Plan 9 uppgång C),Avd 139 Transplantation,1449.0,1
Dexa (Plan 9 uppgång C),Avd 93 HIA Hjärtintensiv,283.0,1
Dialysmottagning (avd 130),AKOM akutteam 4,858.0,1
Avd 14 Plastik,AKOM akutteam 4,1126.0,1
Avd 139 Transplantation,Avd 137 Kirurgi,768.0,1
Avd 139 Transplantation,Avd 138 Kärlkirurgi,5.0,1
Avd 93 HIA Hjärtintensiv,Avd 21 Geriatrik,876.0,1
Avd 139 Transplantation,Avd 143 Transplantationsmottagning,4.0,1
Avd 139 Transplantation,Avd 19 specialist,1531.0,1
Avd 139 Transplantation,Avd 21 Geriatrik,1847.0,1
Avd 93 HIA Hjärtintensiv,Avd 26 Hjärtdagsjukvård,13.0,1
Avd 93 HIA Hjärtintensiv,Avd 32 Specialistmedicin,875.0,1
Avd 139 Transplantation,Operation 1 Narkosbedömning,1139.0,1
Avd 93 HIA Hjärtintensiv,Avd 34 Geriatrik,1976.0,1
